city,type_sensor,num dataset,R2
"Lima, Aosta, Badajoz, Bangalore, Calgary",AIRBEAM,4,0.6957403728256949
"Lima, Aosta, Badajoz, Bangalore, Calgary, Delhi",AIRBEAM,5,0.6088122423207101
"Lima, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur",AIRBEAM,6,0.6106046654858146
"Lima, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur",AIRBEAM,7,0.491562974577222
"Lima, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur",AIRBEAM,8,0.6306874617654763
"Lima, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Southampton",AIRBEAM,9,0.595011724284884
"Lima, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Southampton",AIRBEAM,10,0.41709835721059163
"Southampton, Aosta",PMS5003,1,0.9009242583451289
"Southampton, Aosta, Badajoz",PMS5003,2,0.8710509561019899
"Southampton, Aosta, Badajoz, Bangalore",PMS5003,3,0.8778823482477369
"Southampton, Aosta, Badajoz, Bangalore, Calgary",PMS5003,4,0.8717839892283525
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi",PMS5003,5,0.8615026729132926
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur",PMS5003,6,0.8690099202144352
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima",PMS5003,7,0.6164136384055199
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima",PMS5003,8,0.7148445597077382
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima",PMS5003,9,0.5598366155280174
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima",PMS5003,10,0.7079266328785788
"Southampton, Aosta",SPS030,1,0.9064198502529198
"Southampton, Aosta, Badajoz",SPS030,2,0.9096610981528809
"Southampton, Aosta, Badajoz, Bangalore",SPS030,3,0.8799184657064257
"Southampton, Aosta, Badajoz, Bangalore, Calgary",SPS030,4,0.8681675511348739
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi",SPS030,5,0.8480254387107469
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur",SPS030,6,0.8405824780321225
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima",SPS030,7,0.2606865706261875
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima",SPS030,8,0.3387790558040308
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima",SPS030,9,0.3932975466851286
"Southampton, Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima",SPS030,10,0.2045696051601653
