city,type_sensor,MAE,MSE,RMSE,R2
Aosta,SPS030,5.471847720946352,40.488735378321,6.363075936865833,-0.789953783376429
Badajoz,OPC-N3,7.558855475956348,123.85661745432003,11.129088797126206,0.2645540809192578
Bangalore,PMS5003,7.083849756302342,91.38348823950483,9.55947112760454,0.6022890068081883
Calgary,PMS5003,4.344249444979912,28.054659223990967,5.296664915207584,0.17150571698591976
Delhi,PMS5003,38.07132024237634,3628.4316232468013,60.23646423261247,0.45217337022392834
Hamirpur,PMS5003,8.466048593632372,164.57159385098646,12.828546053664322,0.9100590061432601
Lima_IQAir,IQAir,3.699666478618447,25.74440869873432,5.073894825352051,0.6733710223243499
Lima_AIRBEAM,AIRBEAM,4.554488338814564,47.35045829990398,6.881166928646912,0.38994887920525045
Southampton_PMS5003,PMS5003,4.5074640677896225,33.29670695098385,5.770329882336351,0.44228156955394116
Southampton_SPS030,SPS030,3.7651207533377504,27.983362066549184,5.28993025157697,0.5265862706580668
