city,type_sensor,MAE,MSE,RMSE,R2
Delhi,PMS5003,72.6998206984875,10956.150630041488,104.67163240363402,-0.7573249322330815
Calgary,PMS5003,10.27435446440093,166.03466268745626,12.885443829665173,-4.34307168328271
Bangalore,PMS5003,7.100691439041116,120.41374638490255,10.973319752240092,0.40067286814927394
Hamirpur,PMS5003,19.072913151764098,1386.4922670850115,37.23563168639699,0.054812394259387776
Southampton,PMS5003,26.474737787460388,988.5956794621056,31.441941407332113,-17.356441016491708
Southampton,SPS030,4.800776982634438,45.99994523362271,6.782325945693167,0.14062323456101078
Badajoz,OPC-N3,7.534702567471169,122.84436159024477,11.083517563943532,0.16231600127936774
Lima,PMS7003,11.473198076251654,187.69633098365782,13.700231055849306,-0.988903820406382
Lima,IQAir,6.678444500053448,70.72504972034976,8.409818649670738,0.10044672747051808
Aosta,SPS030,3.569709394707019,22.601213658619173,4.754073375392851,0.4975362829758162
