city,intersected_cities,MAE,MSE,RMSE,R2
Delhi,"Calgary, Bangalore, Hamirpur, Badajoz, Lima_AIRBEAM, Lima_IQAir, Aosta",8.252113791530297,86.48017312239622,9.299471658239312,-0.9226024713678544
Calgary,"Delhi, Bangalore, Hamirpur, Badajoz, Lima_AIRBEAM, Lima_IQAir, Aosta",2.5298330730218006,13.410389678230942,3.66201989047451,0.701864052690065
Bangalore,"Delhi, Calgary, Hamirpur, Badajoz, Lima_AIRBEAM, Lima_IQAir, Aosta",4.4347918400815525,31.70555977322238,5.6307690214767625,0.29513106443687065
Hamirpur,"Delhi, Calgary, Bangalore, Badajoz, Lima_AIRBEAM, Lima_IQAir, Aosta",4.899161246286952,35.609734006790845,5.967389211941085,0.20833457965780022
Southampton_PMS5003,Southampton_SPS030,3.1931381607104603,22.77875766157132,4.772709677067244,0.49358917548830883
Southampton_SPS030,Southampton_PMS5003,3.2078588097455993,23.75077840501028,4.873477034419089,0.47197948836486125
Badajoz,"Delhi, Calgary, Bangalore, Hamirpur, Lima_AIRBEAM, Lima_IQAir, Aosta",3.304567210236507,18.627034100313754,4.315904783508755,0.5858891061095481
Lima_AIRBEAM,"Delhi, Calgary, Bangalore, Hamirpur, Badajoz, Lima_IQAir, Aosta",3.9089747065302785,23.450490326943925,4.842570632106869,0.4786554070195981
Lima_IQAir,"Delhi, Calgary, Bangalore, Hamirpur, Badajoz, Lima_AIRBEAM, Aosta",5.292486243077108,39.67136993183404,6.298521249613598,0.11803745159548151
Aosta,"Delhi, Calgary, Bangalore, Hamirpur, Badajoz, Lima_AIRBEAM, Lima_IQAir",2.644350233512401,15.01920349550842,3.87546171384887,0.6660973641024888
